feature,coefficient,abs_coefficient
cat__diag_2_380,-0.6267311547868519,0.6267311547868519
cat__diag_2_381,-0.08535360558492695,0.08535360558492695
cat__diag_2_382,-1.1479857583973574,1.1479857583973574
cat__diag_2_383,-0.4679806216756087,0.4679806216756087
cat__diag_2_386,-1.156120712990552,1.156120712990552
cat__diag_2_388,-0.13050952389550421,0.13050952389550421
cat__diag_2_389,-0.524001225598544,0.524001225598544
cat__diag_2_394,0.32628561085754937,0.32628561085754937
cat__diag_2_395,-0.3658612911133782,0.3658612911133782
cat__diag_2_396,0.259691960558,0.259691960558
cat__diag_2_397,-0.21292038674321967,0.21292038674321967
cat__diag_2_398,-0.08261931242212808,0.08261931242212808
cat__diag_2_40,-1.5013322186990783,1.5013322186990783
cat__diag_2_401,0.10467320187344142,0.10467320187344142
cat__diag_2_402,0.4340244595641363,0.4340244595641363
cat__diag_2_403,0.4235417303665382,0.4235417303665382
cat__diag_2_404,0.4713643716849299,0.4713643716849299
cat__diag_2_405,0.9166169274198287,0.9166169274198287
cat__diag_2_41,0.26697323384437766,0.26697323384437766
cat__diag_2_410,0.39597970252916326,0.39597970252916326
cat__diag_2_411,0.2953860003973354,0.2953860003973354
cat__diag_2_412,-0.2173428488353465,0.2173428488353465
cat__diag_2_413,0.06059125996148715,0.06059125996148715
cat__diag_2_414,0.24017397153480377,0.24017397153480377
cat__diag_2_415,-0.2366924073333525,0.2366924073333525
cat__diag_2_416,-0.031318215099375275,0.031318215099375275
cat__diag_2_42,0.22097038535876323,0.22097038535876323
cat__diag_2_420,-0.5596611809148507,0.5596611809148507
cat__diag_2_421,-1.3382627576893653,1.3382627576893653
cat__diag_2_422,-0.26579468890963015,0.26579468890963015
cat__diag_2_423,-0.35421866386800543,0.35421866386800543
cat__diag_2_424,0.2895017521168349,0.2895017521168349
cat__diag_2_425,0.270213093126177,0.270213093126177
cat__diag_2_426,0.08865363783999844,0.08865363783999844
cat__diag_2_427,0.2606299540712746,0.2606299540712746
cat__diag_2_428,0.33331383935033176,0.33331383935033176
cat__diag_2_429,-1.8404966541522234,1.8404966541522234
cat__diag_2_430,-0.6479095157098154,0.6479095157098154
cat__diag_2_431,0.48341247443171154,0.48341247443171154
cat__diag_2_432,-1.4160361793780636,1.4160361793780636
cat__diag_2_433,0.393537970297046,0.393537970297046
cat__diag_2_434,0.362310680926808,0.362310680926808
cat__diag_2_435,0.33807673101762015,0.33807673101762015
cat__diag_2_436,-0.0367420405951191,0.0367420405951191
cat__diag_2_437,0.40326328566902175,0.40326328566902175
cat__diag_2_438,0.10947225015003846,0.10947225015003846
cat__diag_2_440,0.47538225660143413,0.47538225660143413
cat__diag_2_441,0.5468567484263482,0.5468567484263482
cat__diag_2_442,-0.06945656279384023,0.06945656279384023
cat__diag_2_443,0.2483370962407279,0.2483370962407279
cat__diag_2_444,0.44513830696708817,0.44513830696708817
cat__diag_2_446,0.4856549999347991,0.4856549999347991
cat__diag_2_447,0.37712160710690434,0.37712160710690434
cat__diag_2_448,-0.3555322188116851,0.3555322188116851
cat__diag_2_451,0.06915675935893174,0.06915675935893174
cat__diag_2_452,0.4829517989545716,0.4829517989545716
cat__diag_2_453,0.5169514359343544,0.5169514359343544
cat__diag_2_454,1.2904757975897019,1.2904757975897019
cat__diag_2_455,-0.6206977771775981,0.6206977771775981
cat__diag_2_456,0.32299374333587655,0.32299374333587655
cat__diag_2_457,0.5780877380373523,0.5780877380373523
cat__diag_2_458,-0.047312259032502406,0.047312259032502406
cat__diag_2_459,-0.0364206191166875,0.0364206191166875
cat__diag_2_460,-0.20979724851229892,0.20979724851229892
cat__diag_2_461,-0.7364158145824868,0.7364158145824868
cat__diag_2_462,-1.0071147557073121,1.0071147557073121
cat__diag_2_463,-0.23374410616080812,0.23374410616080812
cat__diag_2_465,1.4338265891944295,1.4338265891944295
cat__diag_2_466,-0.14034734406456478,0.14034734406456478
cat__diag_2_470,-0.18287732807813034,0.18287732807813034
cat__diag_2_472,-0.2987121296900675,0.2987121296900675
cat__diag_2_473,-0.7095670190446901,0.7095670190446901
cat__diag_2_474,0.9805456936780803,0.9805456936780803
cat__diag_2_475,-0.13708184570096726,0.13708184570096726
cat__diag_2_477,-0.12422583873719968,0.12422583873719968
cat__diag_2_478,-0.4516989732463071,0.4516989732463071
cat__diag_2_480,0.7315439124716976,0.7315439124716976
cat__diag_2_481,-1.8222023326761654,1.8222023326761654
cat__diag_2_482,-0.10630400997699978,0.10630400997699978
cat__diag_2_483,-0.1400605818706457,0.1400605818706457
cat__diag_2_484,0.49122451495712244,0.49122451495712244
cat__diag_2_485,-0.8464415395096974,0.8464415395096974
cat__diag_2_486,0.05426571643805462,0.05426571643805462
cat__diag_2_487,-0.15865009486581286,0.15865009486581286
cat__diag_2_490,-0.37122735150038655,0.37122735150038655
cat__diag_2_491,0.38036358106899554,0.38036358106899554
cat__diag_2_492,0.40381807082776244,0.40381807082776244
cat__diag_2_493,0.08831076904301598,0.08831076904301598
cat__diag_2_494,0.6919018766733629,0.6919018766733629
cat__diag_2_495,0.8816933846965023,0.8816933846965023
cat__diag_2_496,0.25236583919863387,0.25236583919863387
cat__diag_2_5,-0.09438218226498532,0.09438218226498532
cat__diag_2_500,-0.3378990185671833,0.3378990185671833
cat__diag_2_501,-0.4961549529560553,0.4961549529560553
cat__diag_2_507,-0.5161399535369791,0.5161399535369791
cat__diag_2_508,-0.39486360700599615,0.39486360700599615
cat__diag_2_510,-1.0773613646428248,1.0773613646428248
cat__diag_2_511,0.32225282578011555,0.32225282578011555
cat__diag_2_512,0.19538785483765503,0.19538785483765503
cat__diag_2_513,0.8807173334555098,0.8807173334555098
cat__diag_2_514,-1.1406719024436407,1.1406719024436407
cat__diag_2_515,0.42494583408003694,0.42494583408003694
cat__diag_2_516,1.1790225066366642,1.1790225066366642
cat__diag_2_517,-0.6752914768214039,0.6752914768214039
cat__diag_2_518,0.23280989596663396,0.23280989596663396
cat__diag_2_519,-1.7154592153286947,1.7154592153286947
cat__diag_2_52,-0.14001183445834767,0.14001183445834767
cat__diag_2_521,-0.5364464870871076,0.5364464870871076
cat__diag_2_522,1.0910455114443054,1.0910455114443054
cat__diag_2_523,-0.10944573625527679,0.10944573625527679
cat__diag_2_524,-0.5131253038079391,0.5131253038079391
cat__diag_2_527,-0.47409844646510846,0.47409844646510846
cat__diag_2_528,0.9045288087364268,0.9045288087364268
cat__diag_2_529,-0.08012886138902099,0.08012886138902099
cat__diag_2_53,0.6791474547261179,0.6791474547261179
cat__diag_2_530,0.48401603463424814,0.48401603463424814
cat__diag_2_531,0.7145023898332317,0.7145023898332317
cat__diag_2_532,0.47189379812821997,0.47189379812821997
cat__diag_2_533,-0.7823592685933193,0.7823592685933193
cat__diag_2_534,-0.17747697379324975,0.17747697379324975
cat__diag_2_535,0.26800254213154656,0.26800254213154656
cat__diag_2_536,0.7411439516175848,0.7411439516175848
cat__diag_2_537,0.8595630471694761,0.8595630471694761
cat__diag_2_54,0.28098944262513714,0.28098944262513714
cat__diag_2_540,-0.9177704630296394,0.9177704630296394
cat__diag_2_542,-0.1615550070706317,0.1615550070706317
cat__diag_2_550,-1.170857764547319,1.170857764547319
cat__diag_2_552,0.2970038847450821,0.2970038847450821
cat__diag_2_553,-0.12323166495434597,0.12323166495434597
cat__diag_2_555,-0.7471641883876512,0.7471641883876512
cat__diag_2_556,0.3131686720975289,0.3131686720975289
cat__diag_2_557,-0.2353552142322446,0.2353552142322446
cat__diag_2_558,-0.1596190383408628,0.1596190383408628
cat__diag_2_560,0.4171394478175356,0.4171394478175356
cat__diag_2_562,0.05931872973403537,0.05931872973403537
cat__diag_2_564,-0.10838756099052292,0.10838756099052292
cat__diag_2_565,1.0739596607432573,1.0739596607432573
cat__diag_2_566,-0.6391577017045104,0.6391577017045104
cat__diag_2_567,-0.05168598284463215,0.05168598284463215
cat__diag_2_568,-0.5091938640783364,0.5091938640783364
cat__diag_2_569,0.12568278197807106,0.12568278197807106
cat__diag_2_570,0.6466658550225195,0.6466658550225195
cat__diag_2_571,0.31922412705601166,0.31922412705601166
cat__diag_2_572,0.6266086717884802,0.6266086717884802
cat__diag_2_573,0.4920723598954085,0.4920723598954085
