feature,importance
cat__diag_3_274,0.0
cat__diag_3_273,0.0
cat__diag_3_E980,0.0
cat__diag_3_271,0.0
cat__diag_3_270,0.0
cat__diag_3_27,0.0
cat__diag_3_268,0.0
cat__diag_3_266,0.0
cat__diag_3_265,0.0
cat__diag_3_E987,0.0
cat__diag_3_262,0.0
cat__diag_3_V01,0.0
cat__diag_3_261,0.0
cat__diag_3_260,0.0
cat__diag_3_259,0.0
cat__diag_3_V02,0.0
cat__diag_3_258,0.0
cat__diag_3_V03,0.0
cat__diag_3_256,0.0
cat__diag_3_V06,0.0
cat__diag_3_255,0.0
cat__diag_3_253,0.0
cat__diag_3_E966,0.0
cat__diag_3_277,0.0
cat__diag_3_303,0.0
cat__diag_3_E947,0.0
cat__diag_3_298,0.0
cat__diag_3_299,0.0
cat__diag_3_293,0.0
cat__diag_3_E946,0.0
cat__diag_3_292,0.0
cat__diag_3_291,0.0
cat__diag_3_290,0.0
cat__diag_3_289,0.0
cat__diag_3_288,0.0
cat__diag_3_3,0.0
cat__diag_3_E949,0.0
cat__diag_3_E965,0.0
cat__diag_3_286,0.0
cat__diag_3_E950,0.0
cat__diag_3_E945,0.0
cat__diag_3_283,0.0
cat__diag_3_282,0.0
cat__diag_3_281,0.0
cat__diag_3_E955,0.0
cat__diag_3_E956,0.0
cat__diag_3_301,0.0
cat__diag_3_279,0.0
cat__diag_3_E944,0.0
cat__diag_3_252,0.0
cat__diag_3_251,0.0
cat__diag_3_V22,0.0
cat__diag_3_250.23,0.0
cat__diag_3_250.22,0.0
cat__diag_3_250.21,0.0
cat__diag_3_250.2,0.0
cat__diag_2_V86,0.0
cat__diag_3_250.12,0.0
cat__diag_3_250.11,0.0
cat__diag_3_250.1,0.0
cat__diag_3_250.03,0.0
cat__diag_3_306,0.0
cat__diag_3_V23,0.0
cat__diag_3_250.31,0.0
cat__diag_3_V25,0.0
cat__diag_3_246,0.0
cat__diag_3_245,0.0
cat__diag_3_V27,0.0
cat__diag_3_243,0.0
cat__diag_3_242,0.0
cat__diag_3_241,0.0
cat__diag_3_240,0.0
cat__diag_3_E937,0.0
cat__diag_3_239,0.0
cat__diag_3_250.3,0.0
cat__diag_3_V18,0.0
cat__diag_3_V07,0.0
cat__diag_3_E943,0.0
cat__diag_3_250.93,0.0
cat__diag_3_250.92,0.0
cat__diag_3_250.91,0.0
cat__diag_3_250.9,0.0
cat__diag_3_250.83,0.0
cat__diag_3_250.82,0.0
cat__diag_3_250.81,0.0
cat__diag_3_V08,0.0
cat__diag_3_V09,0.0
cat__diag_3_V11,0.0
cat__diag_3_V13,0.0
cat__diag_3_E938,0.0
